Prot_104,Prot_3832
Prot_104,Prot_453
Prot_104,Prot_9156
Prot_104,Prot_7922
Prot_104,Prot_40
Prot_104,Prot_8276
Prot_104,Prot_2158
Prot_104,Prot_8243
Prot_104,Prot_4071
Prot_104,Prot_6133
Prot_104,Prot_5438
Prot_104,Prot_3436
Prot_105,Prot_9704
Prot_105,Prot_6037
Prot_105,Prot_3746
Prot_105,Prot_5949
Prot_105,Prot_4365
Prot_105,Prot_9783
Prot_105,Prot_2048
Prot_105,Prot_746
Prot_106,Prot_2359
Prot_107,Prot_292
Prot_108,Prot_7754
Prot_109,Prot_5328
Prot_109,Prot_7008
Prot_109,Prot_323
Prot_110,Prot_1365
Prot_110,Prot_7998
